model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen3-1.7B,Qwen3-8B,task2_model_series,id,151643,24000,2048,4096,151936,151936,True,False,0.19330439229290497,0.8908516702448586,17.990156173706055,0.2974776327610016,0.31326685163540957,0.8071020107412622,26.741962432861328,0.22284816205501556
Qwen3-0.6B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,1024,4096,151936,151936,True,False,0.17178405378624417,0.9084053415741596,14.912930488586426,0.1502958983182907,0.1932667177562657,0.8920139800791239,21.177148818969727,0.21037507057189941
Qwen3-1.7B,Qwen3-14B,task2_model_series,id,151643,24000,2048,5120,151936,151936,True,False,0.20775773484372573,0.8812859195352837,17.47686195373535,0.3284205496311188,0.2633639737486483,0.8498740743001317,22.757299423217773,0.20727789402008057
Qwen3-1.7B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,2048,2048,151936,151936,True,False,0.27867299330460216,0.8456505574816805,13.654627799987793,0.14392973482608795,0.4151994902651436,0.7375357714908373,21.292457580566406,0.17103329300880432
Qwen3-1.7B,Qwen3-32B,task2_model_series,id,151643,24000,2048,5120,151936,151936,True,False,0.21663314730876382,0.875512810010115,17.27825355529785,0.3175191283226013,0.2548094260347421,0.8519407816657347,20.840192794799805,0.19485938549041748
Qwen3-4B,Qwen3-8B,task2_model_series,id,151643,24000,2560,4096,151936,151936,True,False,0.23139889454813423,0.8695541149818515,31.829572677612305,0.3755762577056885,0.4611096543912899,0.7150509385268806,52.20647048950195,0.2464601844549179
Qwen3-4B,Qwen3-14B,task2_model_series,id,151643,24000,2560,5120,151936,151936,True,False,0.23548100210689626,0.8657451384438292,30.361976623535156,0.425473690032959,0.3290878096240534,0.8109666406619997,40.647483825683594,0.2788996696472168
Qwen3-4B,Qwen3-32B,task2_model_series,id,151643,24000,2560,5120,151936,151936,True,False,0.2452741275651903,0.8593752565646218,29.984333038330078,0.4061775207519531,0.3199262813461854,0.8136922596607616,37.24702072143555,0.32000842690467834
Qwen3-4B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,2560,2048,151936,151936,True,False,0.30671801317283154,0.8290466911086886,23.43117904663086,0.18876922130584717,0.48492645817580127,0.692001203124734,36.945396423339844,0.19132308661937714
Qwen3-4B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2560,4096,151936,151936,True,False,0.2696877666654086,0.8530227174208195,24.76778221130371,0.18519730865955353,0.37867301678452814,0.7828171921931403,38.8492431640625,0.282772421836853
Qwen3-8B,Qwen3-14B,task2_model_series,id,151643,24000,4096,5120,151936,151936,False,False,0.3138745696155133,0.820170361957001,50.5019416809082,0.04769241064786911,0.45433906514427647,0.7314287946247429,39.820743560791016,0.1787591427564621
Qwen3-8B,Qwen3-32B,task2_model_series,id,151643,24000,4096,5120,151936,151936,False,False,0.321233078945379,0.814989261085159,49.118125915527344,0.04695073515176773,0.4463298124703692,0.7343252939753273,36.84262466430664,0.20836976170539856
Gemma-2-27B,Gemma-2-27B-Instruct,task1_base_instruct,id,255993,24000,4608,4608,256000,256000,True,True,0.998030175136156,0.04388680918129806,67.49647521972656,0.07424409687519073,0.998030175136156,0.04388680918129806,67.49647521972656,0.07424409687519073
Qwen3-8B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,4096,4096,151936,151936,False,False,0.3095764304831732,0.8293999086472322,39.043418884277344,0.041102372109889984,0.503709809213356,0.6997611945736503,36.90418243408203,0.21220549941062927
Qwen3-14B,Qwen3-32B,task2_model_series,id,151643,24000,5120,5120,151936,151936,False,False,0.503132894611622,0.6972427188720526,85.38438415527344,0.04078506678342819,0.7485385968643878,0.49490909618164325,57.71644592285156,0.1320384293794632
Qwen3-14B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,5120,2048,151936,151936,False,False,0.36557204734274673,0.7930772683661143,65.11170959472656,0.048458535224199295,0.6117382560428878,0.6010962378760688,42.96028518676758,0.17894789576530457
Qwen3-14B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,5120,4096,151936,151936,False,False,0.34986409355031767,0.8048471539742119,74.7046890258789,0.042739953845739365,0.5591156999690727,0.6595356109639808,48.83705520629883,0.14761994779109955
