model_a,model_b,hidden_dim,vocab,rank_frac,rank_affine,rank_delta_param_matched,rank_delta_no_overbudget,affine_params_with_bias,delta_params_with_bias,delta_no_overbudget_params_with_bias,delta_over_affine_params,delta_no_overbudget_over_affine_params,full_hh_params,affine_params_over_full_hh,identity_R2,full_affine_R2,reported_full_affine_R2,rank_affine_R2,param_matched_delta_R2,no_overbudget_delta_R2,rank_affine_update_gain,param_matched_delta_update_gain,no_overbudget_delta_update_gain,rank_affine_gain_over_delta_gain,rank_affine_gain_over_no_overbudget_delta_gain,rank_affine_fraction_of_full_affine_gain,A_I_energy_at_rank_affine,pred_energy_at_rank_affine,delta_energy_at_param_matched_rank,delta_energy_at_no_overbudget_rank,delta_energy_at_same_rank_not_param_matched,full_affine_update_gain,centered_delta_over_Yc_energy
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.01,26,1,0,135680,157056,2560,1.1575471698113207,0.018867924528301886,6553600,0.020703125,0.9859308098198453,0.9901264025115812,0.9901264236933547,0.9880251228523513,0.9863663985270086,0.9859308098198453,0.14885810808501415,0.030960467630730345,0.0,4.808005804707629,inf,0.49916976846471933,0.5708002614154676,0.49916976846471933,0.030960467630730345,0.0,0.20653781901871143,0.29821138516231127,0.014069190180154734
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.02,52,2,1,268800,311552,157056,1.159047619047619,0.5842857142857143,6553600,0.041015625,0.9859308098198453,0.9901264025115812,0.9901264236933547,0.9883991728613964,0.9866540303036286,0.9863663985270086,0.17544457143190315,0.05140455666052181,0.030960467630730345,3.4130159431302487,5.666728730471843,0.5883228480241012,0.6389429572024459,0.5883228480241012,0.05140455666052181,0.030960467630730345,0.2614648095513155,0.29821138516231127,0.014069190180154734
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.05,128,4,4,657920,620544,620544,0.9431906614785992,0.9431906614785992,6553600,0.100390625,0.9859308098198453,0.9901264025115812,0.9901264236933547,0.9888465868985417,0.9871435088456608,0.9871435088456608,0.2072455515463306,0.08619536805509341,0.08619536805509341,2.404369935677584,2.404369935677584,0.6949619023885706,0.7165668468631846,0.6949619023885706,0.08619536805509341,0.08619536805509341,0.3534338485590615,0.29821138516231127,0.014069190180154734
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.1,256,8,8,1313280,1238528,1238528,0.9430799220272904,0.9430799220272904,6553600,0.200390625,0.9859308098198453,0.9901264025115812,0.9901264236933547,0.9891808732493601,0.9877345724770679,0.9877345724770679,0.23100572157303248,0.12820657295307197,0.12820657295307197,1.8018243234501599,1.8018243234501599,0.7746374989918647,0.7778429066504146,0.7746374989918647,0.12820657295307197,0.12820657295307197,0.44975599173832037,0.29821138516231127,0.014069190180154734
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.001,1,1,0,2688,153728,896,57.19047619047619,0.3333333333333333,802816,0.0033482142857142855,0.986895013765239,0.9902607085466232,0.9902607098733518,0.9882538423241072,0.9884695022240937,0.986895013765239,0.10368790432331117,0.12014422836083208,0.0,0.8630285927002899,inf,0.4037289912275912,0.2653282273044735,0.4037289912275912,0.12014422836083208,0.0,0.12014422836083208,0.25682551061798764,0.013104986234760993
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.002,2,1,0,4480,153728,896,34.31428571428572,0.2,802816,0.005580357142857143,0.986895013765239,0.9902607085466232,0.9902607098733518,0.9885099937683498,0.9884695022240937,0.986895013765239,0.12323400987839514,0.12014422836083208,0.0,1.025717269649304,inf,0.47983554897588915,0.30796601096099685,0.47983554897588915,0.12014422836083208,0.0,0.14315258599936825,0.25682551061798764,0.013104986234760993
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.005,5,1,0,9856,153728,896,15.597402597402597,0.09090909090909091,802816,0.012276785714285714,0.986895013765239,0.9902607085466232,0.9902607098733518,0.988725012279631,0.9884695022240937,0.986895013765239,0.13964139157490757,0.12014422836083208,0.0,1.1622813137183685,inf,0.5437208758541735,0.397920750777539,0.5437208758541735,0.12014422836083208,0.0,0.166425038771205,0.25682551061798764,0.013104986234760993
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.01,9,1,0,17024,153728,896,9.030075187969924,0.05263157894736842,802816,0.021205357142857144,0.986895013765239,0.9902607085466232,0.9902607098733518,0.9888742660812297,0.9884695022240937,0.986895013765239,0.15103047653272367,0.12014422836083208,0.0,1.2570764205096077,inf,0.5880664898487142,0.485338347998296,0.5880664898487142,0.12014422836083208,0.0,0.18435260088862418,0.25682551061798764,0.013104986234760993
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.02,18,1,0,33152,153728,896,4.637065637065637,0.02702702702702703,802816,0.041294642857142856,0.986895013765239,0.9902607085466232,0.9902607098733518,0.98903578491029,0.9884695022240937,0.986895013765239,0.1633554668964529,0.12014422836083208,0.0,1.359661376373765,inf,0.6360562332899796,0.5763614945575606,0.6360562332899796,0.12014422836083208,0.0,0.20778437174297526,0.25682551061798764,0.013104986234760993
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.05,45,1,0,81536,153728,896,1.8854003139717426,0.01098901098901099,802816,0.1015625,0.986895013765239,0.9902607085466232,0.9902607098733518,0.989227950779046,0.9884695022240937,0.986895013765239,0.1780190358093563,0.12014422836083208,0.0,1.4817110920610135,inf,0.6931516864543446,0.6658023541838878,0.6931516864543446,0.12014422836083208,0.0,0.2500463114999325,0.25682551061798764,0.013104986234760993
