model,subset,model_group,role,matrix,mean_row_norm,mean_vec_norm,mu_over_row_norm,sigma1,sigma1_centered,sigma1_over_mean_row,sigma1_c_over_mean_row,sigma1_over_mean_sqrt_n,sigma1_c_over_mean_sqrt_n,cos_v1_mu,cos_v1_v1_centered,rank1_energy_frac,rank5_energy_frac,rank10_energy_frac,participation_ratio,effective_rank,isotropy_pr_over_d,sigma_ratio,rank1_centered_energy_frac,rank5_centered_energy_frac,participation_ratio_centered,effective_rank_centered,isotropy_pr_over_d_centered,sigma_ratio_centered,tied,vocab_size,hidden_dim
GLM-5-744B,other_models,glm5,,E,0.7069623470306396,0.03903050348162651,0.055208744349060694,24.482418060302734,24.29103660583496,34.63044130020926,34.35973175638191,0.08799547822509557,0.08730760897264568,0.2846551537513733,0.9739781618118286,0.007551261223852634,0.03006719797849655,0.04913398250937462,1375.924560546875,3375.88427734375,0.2239460547765096,14.381180314186102,0.007456070743501186,0.029760779812932014,1394.2645263671875,3393.04248046875,0.22693107525507608,14.270154192294438,False,154880,6144
GLM-5-744B,other_models,glm5,,U,1.5126715898513794,0.31212034821510315,0.206337152300037,134.6244354248047,60.199188232421875,88.9977945827829,39.796601348437086,0.22614218015302848,0.1011226203279149,0.9967048168182373,0.9279181957244873,0.05000196024775505,0.05858669430017471,0.06486644595861435,363.4927978515625,3864.819580078125,0.05916223923365275,90.20153049482002,0.010432799346745014,0.01884048618376255,2643.749267578125,4708.76953125,0.43029773235321045,40.39875219935987,False,154880,6144
GLM-5.1,other_models,glm5.1,,E,0.705330491065979,0.038924891501665115,0.05518674152713462,24.422021865844727,24.23624610900879,34.62493423322062,34.36154599297147,0.0879814848431146,0.08731221892303376,0.28118202090263367,0.9745570421218872,0.007548921275883913,0.030069973319768906,0.04913637787103653,1375.871826171875,3376.203125,0.22393747170766196,14.378647480414381,0.0074569000862538815,0.029765386134386063,1394.15283203125,3393.3369140625,0.2269128958384196,14.27079505482064,False,154880,6144
GLM-5.1,other_models,glm5.1,,U,1.5053002834320068,0.31098389625549316,0.206592597954254,134.15794372558594,59.9915771484375,89.12370853987535,39.8535613184499,0.22646212579777253,0.10126735483353423,0.9967327117919922,0.9284548759460449,0.05013981834053993,0.05872940272092819,0.06499434262514114,361.82086181640625,3869.03857421875,0.0588901142279307,89.30412199332184,0.010463000275194645,0.018875714391469955,2647.36962890625,4717.3232421875,0.43088698387145996,40.02583499195016,False,154880,6144
Gemma-2-27B,base_instruct,gemma2,base,E,0.9992181658744812,0.14210982620716095,0.1422210194535358,85.61847686767578,71.80679321289062,85.6854686911596,71.8629781415631,0.16935077715194446,0.142031681481396,0.8867964744567871,0.7331209182739258,0.028679855167865753,0.0678827166557312,0.08993613719940186,611.029541015625,2973.59423828125,0.1326018969217936,271.54795735382737,0.02058958262205124,0.05127386748790741,949.6524658203125,3201.265380859375,0.20608777470058864,232.65082391107393,True,256000,4608
Gemma-2-27B-Instruct,base_instruct,gemma2,instruct,E,0.9936172366142273,0.1479528248310089,0.14890323897274713,87.01699829101562,71.29094696044922,87.57597501783279,71.74890323297399,0.17308721835397295,0.1418062211470103,0.9094350337982178,0.6876587867736816,0.02995743602514267,0.0695292204618454,0.09165489673614502,580.2246704101562,2948.893798828125,0.12591681215498182,198.2409934213121,0.020564831793308258,0.051225826144218445,951.36572265625,3200.758544921875,0.20645957522922093,173.51906468291278,True,256000,4608
Gemma-2-2B,base_instruct,gemma2,base,E,1.7797690629959106,0.7348749041557312,0.4129046399529531,409.6663818359375,191.76483154296875,230.1795161819142,107.74703051651447,0.4549322136565208,0.21295376721990897,0.9955878257751465,0.9067185521125793,0.2028750628232956,0.2383703589439392,0.25363197922706604,23.874555587768555,651.6728515625,0.010362220307191214,222.475869077123,0.053373366594314575,0.08813517540693283,270.1596984863281,1527.071533203125,0.11725681357913548,135.21380582170357,True,256000,2304
Gemma-2-2B-Instruct,base_instruct,gemma2,instruct,E,1.77203369140625,0.7366922497749329,0.4157326428654462,410.54620361328125,192.2344207763672,231.68081149037303,108.4823735060104,0.45789940904105514,0.21440711641256174,0.9955140948295593,0.9056824445724487,0.20550543069839478,0.24136534333229065,0.2566915452480316,23.274322509765625,639.2216796875,0.010101702478196885,233.51357203805182,0.05424952134490013,0.08934205770492554,262.9160461425781,1516.3787841796875,0.11411286724938287,122.62930786999446,True,256000,2304
Gemma-2-9B,base_instruct,gemma2,base,E,1.722504734992981,0.8435725569725037,0.48973598727201245,446.399658203125,184.51974487304688,259.15728946019067,107.12292461349824,0.5122045668310945,0.21172026962322935,0.9982805848121643,0.3268817961215973,0.25839319825172424,0.32814663648605347,0.34395793080329895,14.475106239318848,503.5605773925781,0.004038813124809947,174.10188303152125,0.057806797325611115,0.12294954806566238,182.25271606445312,1826.9281005859375,0.05085176229476929,79.64142809435623,True,256000,3584
Gemma-2-9B-Instruct,base_instruct,gemma2,instruct,E,1.7215255498886108,0.8277376294136047,0.4808163488872776,438.94390869140625,185.93714904785156,254.97379851249235,108.00719690734907,0.5039362168527051,0.21346796619844827,0.9981328845024109,0.33458399772644043,0.25009390711784363,0.31988680362701416,0.3360719382762909,15.406484603881836,533.2888793945312,0.00429868432027953,181.8823077757495,0.058109115809202194,0.12200821936130524,183.0555419921875,1834.717041015625,0.05107576506478446,78.36768201652887,True,256000,3584
