model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,21,1024,1.0,5237248,2098176,0.40062567210871053,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979547607830725,0.997860103859318,0.15831220135165625,0.11935755139071841,0.7539377910966665,1.0,0.15831220135165625,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,22,1024,1.0,5486592,2098176,0.3824188129899216,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979641473962116,0.997860103859318,0.16217512246350999,0.11935755139071841,0.7359794127337521,1.0,0.16217512246350999,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,23,1024,1.0,5735936,2098176,0.36579487637240027,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979731947552969,0.997860103859318,0.16589842861224466,0.11935755139071841,0.7194616150927716,1.0,0.16589842861224466,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,24,1024,1.0,5985280,2098176,0.35055603079555175,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979820644430383,0.997860103859318,0.16954861676040475,0.11935755139071841,0.7039724279165713,1.0,0.16954861676040475,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,25,1024,1.0,6234624,2098176,0.3365360926336536,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979908138742465,0.997860103859318,0.17314931511982617,0.11935755139071841,0.6893330840385841,1.0,0.17314931511982617,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,26,1024,1.0,6483968,2098176,0.32359444093493367,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9979993513196966,0.997860103859318,0.1766627738915908,0.11935755139071841,0.6756236685379017,1.0,0.1766627738915908,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,27,1024,1.0,6733312,2098176,0.31161128431298,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980078005898294,0.997860103859318,0.18013994542209177,0.11935755139071841,0.6625823667873766,1.0,0.18013994542209177,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,28,1024,1.0,6982656,2098176,0.30048394192696876,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.998016149774253,0.997860103859318,0.1835759281667575,0.11935755139071841,0.650180841151983,1.0,0.1835759281667575,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,29,1024,1.0,7232000,2098176,0.29012389380530973,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980243384565465,0.997860103859318,0.1869458586454629,0.11935755139071841,0.6384605267831921,1.0,0.1869458586454629,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,30,1024,1.0,7481344,2098176,0.280454421023816,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980323389258391,0.997860103859318,0.19023833286136202,0.11935755139071841,0.6274106253743369,1.0,0.19023833286136202,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,31,1024,1.0,7730688,2098176,0.27140870256308364,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980401466196827,0.997860103859318,0.1934514732066553,0.11935755139071841,0.6169896223184315,1.0,0.1934514732066553,0.11935755139071841,0.0024299261795311103
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,32,1024,1.0,7980032,2098176,0.2629282689593225,0.9975700738204689,0.9978601038593179,0.9978601039448638,0.9980478352576372,0.997860103859318,0.19661561787052553,0.11935755139071841,0.6070603784350297,1.0,0.19661561787052553,0.11935755139071841,0.0024299261795311103
