model_a,model_b,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,matrix_kind,raw_delta_over_Yc_energy
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,32,1158,0.32310267857142855,8310272,8304128,0.9992606740188528,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.9909554586554341,0.9910545037402363,0.25481267320937695,0.26297308059363933,1.0320251237172848,0.9788223371895718,0.25481267320937695,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.3959883465702557,0.4026027654950337,0.40721451074275494,1.016703569643064,1,1,embed,0.01497411729261921
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,64,2317,0.646484375,16616960,16611840,0.9996918810660915,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.9913180376547409,0.9911148735949981,0.284685860245685,0.26794700342453015,0.9412023596580837,0.9973359689245872,0.284685860245685,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.4202020609563113,0.40663437908413924,0.40721451074275494,0.9677115294453953,0,0,embed,0.01497411729261921
Gemma-2-9B,Gemma-2-9B-Instruct,3584,256000,128,3584,1.0,33230336,25693696,0.7732000061630433,0.9878627279082711,0.9911235605544993,0.9911235620291692,0.9917310055329271,0.9911235605544993,0.3187106291612342,0.26866272928414836,0.8429675847059156,1.0,0.3187106291612342,0.26866272928414836,0.01213727209172885,0.1894499118347798,0.8105500881652202,0.44778084040061095,0.40721451074275494,0.40721451074275494,0.9094058387545948,0,0,embed,0.01497411729261921
Gemma-3-12B,Gemma-3-12B-Instruct,3840,262208,1,34,0.008854166666666666,269888,264960,0.9817405738676784,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9639272630052959,0.9654257610626439,0.03402322551213375,0.07415087981865118,2.1794194613384508,0.6015080937486718,0.03402322551213375,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.04992927659498576,0.08939617741747363,0.13771135595319198,1.7904560913756842,1,1,embed,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,3840,262208,2,69,0.01796875,535936,533760,0.9959398137090996,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9642198754994394,0.9656771204280292,0.0418589734152993,0.08088192739754291,1.9322482325374195,0.6561100028293565,0.0418589734152993,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.05763599882205658,0.09601638963317795,0.13771135595319198,1.665910049197129,1,1,embed,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,3840,262208,4,138,0.0359375,1068032,1063680,0.9959252157238735,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9647394463623454,0.9659064753970124,0.055772344788851166,0.08702372842538397,1.5603383496757683,0.7059319744293627,0.055772344788851166,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.07132026862541826,0.10205705800082504,0.13771135595319198,1.4309685026123458,1,1,embed,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,3840,262208,8,277,0.07213541666666666,2132224,2131200,0.9995197502701405,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9652630285635581,0.9661542399276369,0.06979313411739216,0.09365851142397748,1.3419444850612916,0.7597529902241915,0.06979313411739216,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.08511018760886228,0.10858259075646605,0.13771135595319198,1.275788408027897,1,1,embed,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,3840,262208,16,554,0.14427083333333332,4260608,4258560,0.9995193174307516,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9658487922787239,0.9664438213618132,0.08547905626605018,0.10141309183683102,1.1864086510406338,0.8226577446028857,0.08547905626605018,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.10053782085703357,0.11620948202043883,0.13771135595319198,1.15587826580895,1,1,embed,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,3840,262208,32,1108,0.28854166666666664,8517376,8513280,0.9995191007183433,0.962656724315314,0.9672602147356555,0.9672602427168877,0.966548698948012,0.9667969704694137,0.10422156496287303,0.11086992445597378,1.063790631962484,0.8993710806489675,0.10422156496287303,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.11897171002114508,0.1255105957168344,0.13771135595319198,1.054961685383249,1,1,embed,0.03796847551035038
Gemma-3-12B,Gemma-3-12B-Instruct,3840,262208,64,2217,0.57734375,17030912,17030400,0.9999699370180528,0.962656724315314,0.9672602147356555,0.9672602427168877,0.9674255210063384,0.9671462202330491,0.12770161705390884,0.12022233816987113,0.9414316039484422,0.9752373759478715,0.12770161705390884,0.12327494939683,0.037343275684686005,0.016466287288620318,0.9835337127113797,0.14206513282889813,0.13470900989967668,0.13771135595319198,0.9482200679171497,0,0,embed,0.03796847551035038
