subset,model,model_group,matrix,mean,var,min,max,role,tied,vocab_size,hidden_dim
base_instruct,Gemma-2-9B-Instruct,gemma2,U,1.7215255498886108,0.04559020698070526,1.0204237699508667,4.276258945465088,instruct,True,256000,3584
base_instruct,Gemma-3-12B,gemma3,E,0.9645566940307617,0.00022783130407333374,0.004741297569125891,0.9674243927001953,base,True,262208,3840
base_instruct,Gemma-3-12B,gemma3,U,0.9645566940307617,0.00022783130407333374,0.004741297569125891,0.9674243927001953,base,True,262208,3840
base_instruct,Gemma-3-12B-Instruct,gemma3,E,0.9502406120300293,0.00033562071621418,0.0047323317267000675,1.0044832229614258,instruct,True,262208,3840
base_instruct,Gemma-3-12B-Instruct,gemma3,U,0.9502406120300293,0.00033562071621418,0.0047323317267000675,1.0044832229614258,instruct,True,262208,3840
base_instruct,Gemma-3-1B,gemma3,E,1.046724796295166,2.0126249111740435e-08,1.0449693202972412,1.0481470823287964,base,True,262144,1152
base_instruct,Gemma-3-1B,gemma3,U,1.046724796295166,2.0126249111740435e-08,1.0449693202972412,1.0481470823287964,base,True,262144,1152
base_instruct,Gemma-3-1B-Instruct,gemma3,E,0.947531521320343,0.0007429362740367651,0.7278562188148499,1.1100610494613647,instruct,True,262144,1152
base_instruct,Gemma-3-1B-Instruct,gemma3,U,0.947531521320343,0.0007429362740367651,0.7278562188148499,1.1100610494613647,instruct,True,262144,1152
base_instruct,Gemma-3-27B,gemma3,E,1.0307968854904175,0.000260220724157989,0.005096373613923788,1.0320360660552979,base,True,262208,5376
base_instruct,Gemma-3-27B,gemma3,U,1.0307968854904175,0.000260220724157989,0.005096373613923788,1.0320360660552979,base,True,262208,5376
base_instruct,Gemma-3-27B-Instruct,gemma3,E,1.0202463865280151,0.0003491851093713194,0.005080182570964098,1.0795257091522217,instruct,True,262208,5376
base_instruct,Gemma-3-27B-Instruct,gemma3,U,1.0202463865280151,0.0003491851093713194,0.005080182570964098,1.0795257091522217,instruct,True,262208,5376
base_instruct,Gemma-3-4B,gemma3,E,0.9722772836685181,0.00023127188615035266,0.005096142645925283,0.9748662710189819,base,True,262208,2560
base_instruct,Gemma-3-4B,gemma3,U,0.9722772836685181,0.00023127188615035266,0.005096142645925283,0.9748662710189819,base,True,262208,2560
base_instruct,Gemma-3-4B-Instruct,gemma3,E,0.9982269406318665,0.00048541283467784524,0.00560167757794261,1.0844591856002808,instruct,True,262208,2560
base_instruct,Gemma-3-4B-Instruct,gemma3,U,0.9982269406318665,0.00048541283467784524,0.00560167757794261,1.0844591856002808,instruct,True,262208,2560
base_instruct,Gemma-4-26B-A4B,gemma4,E,0.9999024271965027,3.7517500217632005e-09,0.9987017512321472,1.0010464191436768,base,True,262144,2816
base_instruct,Gemma-4-26B-A4B,gemma4,U,0.9999024271965027,3.7517500217632005e-09,0.9987017512321472,1.0010464191436768,base,True,262144,2816
base_instruct,Gemma-4-26B-A4B-Instruct,gemma4,E,1.5153628587722778,0.0345567986369133,0.9981152415275574,6.022451877593994,instruct,True,262144,2816
base_instruct,Gemma-4-26B-A4B-Instruct,gemma4,U,1.5153628587722778,0.0345567986369133,0.9981152415275574,6.022451877593994,instruct,True,262144,2816
base_instruct,Gemma-4-31B,gemma4,E,0.9997997879981995,5.6082637200916e-08,0.9980823397636414,1.0017658472061157,base,True,262144,5376
base_instruct,Gemma-4-31B,gemma4,U,0.9997997879981995,5.6082637200916e-08,0.9980823397636414,1.0017658472061157,base,True,262144,5376
base_instruct,Gemma-4-31B-Instruct,gemma4,E,1.1182231903076172,0.006929317489266396,0.5022780299186707,6.815074920654297,instruct,True,262144,5376
base_instruct,Gemma-4-31B-Instruct,gemma4,U,1.1182231903076172,0.006929317489266396,0.5022780299186707,6.815074920654297,instruct,True,262144,5376
base_instruct,Gemma-4-E2B,gemma4,E,0.9999984502792358,6.2691820623683725e-09,0.9988951086997986,1.0008153915405273,base,True,262144,1536
base_instruct,Gemma-4-E2B,gemma4,U,0.9999984502792358,6.2691820623683725e-09,0.9988951086997986,1.0008153915405273,base,True,262144,1536
