model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw,raw_delta_over_Yc_energy
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,16,452,0.09809027777777778,4174336,4170240,0.9990187660983687,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9974898436786905,0.9975312821932808,0.28725624345700906,0.29902245988899817,1.0409606986792963,0.9339638086838001,0.28725624345700906,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.42661575299260157,0.43608137522646706,0.4530899574875696,1.0221876997449497,1,1,0.004377790869579099
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,32,904,0.19618055555555555,8344064,8335872,0.9990182242130453,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9976496109691996,0.9975598458785474,0.3326212025408105,0.30713294614230974,0.9233715223088537,0.9592960216360725,0.3326212025408105,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.4631107102139041,0.442606055394519,0.4530899574875696,0.9557240755457496,0,0,0.004377790869579099
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,64,1809,0.392578125,16683520,16676352,0.9995703544575725,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9978003193882864,0.997587182031293,0.375413949689944,0.31489488193567555,0.8387937693731109,0.9835395755116648,0.375413949689944,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.4975363882731463,0.4488503355714305,0.4530899574875696,0.9021457448153777,0,0,0.004377790869579099
Gemma-2-27B,Gemma-2-27B-Instruct,lm_head,4608,256000,128,3619,0.7853732638888888,33362432,33357312,0.9998465339697058,0.9964781784501565,0.997605742209408,0.9976057471139504,0.9979575819740719,0.9976047617639581,0.42006771296552314,0.3198865410576033,0.7615118495999663,0.9991304744926226,0.42006771296552314,0.32016493263309553,0.003521821549843446,0.19552540202039165,0.8044745979796084,0.5334592065325444,0.45286599853679455,0.4530899574875696,0.8489233909381726,0,0,0.004377790869579099
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,1,56,0.024305555555555556,260608,260352,0.9990176817288802,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9991904387679855,0.9992633452837533,0.2320049765778352,0.3011681714918454,1.2981108247512383,0.8171707835717411,0.2320049765778352,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.37117750471913,0.42780726335171687,0.4829783455785934,1.1525678628489044,1,1,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,2,112,0.04861111111111111,518912,518400,0.9990133201776024,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9992360117355702,0.9992829710232155,0.2752380402714525,0.31978624464298355,1.1618533700050893,0.8676878928338118,0.2752380402714525,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.40657607132613416,0.4430514548622977,0.4829783455785934,1.0897135520474466,1,1,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,4,224,0.09722222222222222,1035520,1034496,0.9990111248454883,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9993036034233691,0.9992997661734863,0.3393592923787078,0.3357190627122077,0.9892732282620456,0.9109189997653303,0.3393592923787078,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.4590775648526798,0.45609700087443417,0.4829783455785934,0.9935074937081665,0,0,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,8,448,0.19444444444444445,2068736,2066688,0.9990100235119416,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9993636935850084,0.9993136028299695,0.39636417758158277,0.3488452882522996,0.8801130575946096,0.9465348749649004,0.39636417758158277,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.505752286775672,0.4668445521553789,0.4829783455785934,0.9230695824069487,0,0,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,16,896,0.3888888888888889,4135168,4131072,0.9990094719247199,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.9994203986876724,0.9993250278240137,0.4501578066813541,0.35968367603760093,0.7990168574199679,0.9759430750256723,0.4501578066813541,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.5497976816663852,0.4757188571236657,0.4829783455785934,0.8652616644031791,0,0,0.0012874240951778583
Gemma-2-2B,Gemma-2-2B-Instruct,lm_head,2304,256000,32,1793,0.7782118055555556,8268032,8264448,0.9995665232064898,0.9989458769818493,0.9993343738643692,0.9993343784311904,0.999478248077269,0.9993331548954884,0.5050369703089179,0.3673934701838405,0.7274585659721416,0.9968623457854312,0.5050369703089179,0.3685498521808143,0.0010541230181506573,0.18121540361179148,0.8187845963882086,0.5947318955073025,0.48203151781193065,0.4829783455785934,0.8105022136079667,0,0,0.0012874240951778583
