model_a,model_b,matrix_kind,hidden_dim,vocab,rank_w,rank_affine_budgeted,rank_affine_over_h,w_params_with_bias,affine_params_with_bias,affine_over_w_params,identity_R2,full_affine_R2,reported_full_affine_R2,w_rank_R2,rank_affine_R2,w_rank_update_gain,rank_affine_update_gain,rank_affine_gain_over_w_gain,rank_affine_fraction_of_full_affine_gain,w_delta_energy_at_rank,full_affine_update_gain,centered_delta_over_Yc_energy,mean_shift_over_raw_delta,centered_delta_over_raw_delta,w_rank_update_gain_over_raw,rank_affine_update_gain_over_raw,full_affine_update_gain_over_raw,rank_affine_gain_over_w_gain_raw,affine_wins_centered,affine_wins_raw
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,70,2048,1.0,10780928,8390656,0.7782869897656306,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998206440768145,0.9997321509213508,0.7012224847385078,0.5538074195570127,0.7897741895192258,1.0,0.7012224847385078,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7362768871225982,0.6061574574839129,0.6061574574839129,0.8232737820316517,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,71,2048,1.0,10934912,8390656,0.7673272542110993,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998210947667205,0.9997321509213508,0.7019732601123598,0.5538074195570127,0.7889295091786954,1.0,0.7019732601123598,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7369395769454608,0.6061574574839129,0.6061574574839129,0.822533456537066,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,72,2048,1.0,11088896,8390656,0.7566718995290423,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998215444721966,0.9997321509213508,0.7027223955876591,0.5538074195570127,0.7880884728227359,1.0,0.7027223955876591,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7376008192726818,0.6061574574839129,0.6061574574839129,0.8217960740358452,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,73,2048,1.0,11242880,8390656,0.7463084191950817,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998219873314104,0.9997321509213508,0.7034601263139314,0.5538074195570127,0.7872619908947994,1.0,0.7034601263139314,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7382519949256674,0.6061574574839129,0.6061574574839129,0.8210712082734639,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,74,2048,1.0,11396864,8390656,0.7362249825917024,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998224236128425,0.9997321509213508,0.7041868995362367,0.5538074195570127,0.7864494780032675,1.0,0.7041868995362367,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7388934986759564,0.6061574574839129,0.6061574574839129,0.8203583582344454,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,75,2048,1.0,11550848,8390656,0.7264103899557851,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998228584623765,0.9997321509213508,0.704911287451556,0.5538074195570127,0.7856412990054048,1.0,0.704911287451556,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7395328969780395,0.6061574574839129,0.6061574574839129,0.8196490784397288,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,76,2048,1.0,11704832,8390656,0.7168540308822886,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998232842730542,0.9997321509213508,0.7056206181165259,0.5538074195570127,0.7848515269228672,1.0,0.7056206181165259,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7401590046383215,0.6061574574839129,0.6061574574839129,0.8189557293572501,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,77,2048,1.0,11858816,8390656,0.7075458460608547,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998237099942383,0.9997321509213508,0.7063297996998091,0.5538074195570127,0.7840635065834423,1.0,0.7063297996998091,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7407849807080907,0.6061574574839129,0.6061574574839129,0.8182636976582706,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,78,2048,1.0,12012800,8390656,0.6984762919552477,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998241290481471,0.9997321509213508,0.7070278746974387,0.5538074195570127,0.7832893714324994,1.0,0.7070278746974387,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7414011532846503,0.6061574574839129,0.6061574574839129,0.8175836452350209,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,79,2048,1.0,12166784,8390656,0.6896363081649185,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998245413005403,0.9997321509213508,0.7077146194868846,0.5538074195570127,0.7825292911972633,1.0,0.7077146194868846,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7420073249822311,0.6061574574839129,0.6061574574839129,0.8169157326020045,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,80,2048,1.0,12320768,8390656,0.6810172872340425,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998249523000228,0.9997321509213508,0.7083992771327179,0.5538074195570127,0.7817729879660189,1.0,0.7083992771327179,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7426116544126315,0.6061574574839129,0.6061574574839129,0.8162509353066281,0,0
Qwen2.5-3B,Qwen2.5-3B-Instruct,lm_head,2048,151936,81,2048,1.0,12474752,8390656,0.6726110466965596,0.9993997007337432,0.9997321509213508,0.9997321531880566,0.9998253567217236,0.9997321509213508,0.7090729772745841,0.5538074195570127,0.7810302145283338,1.0,0.7090729772745841,0.5538074195570127,0.0006002992662567704,0.11732610585977511,0.8826738941402249,0.7432063119403354,0.6061574574839129,0.6061574574839129,0.8155978329911914,0,0
