family,size,model_a,matrix_kind,rank_w,same_budget_gain_over_w,same_budget_mode,same_budget_rank_affine,same_budget_rank_residual_w,match_param_ratio_over_w,match_param_saving,match_mode,match_rank_affine,match_rank_residual_w,baseline_w_gain,same_budget_hybrid_gain,match_hybrid_gain
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,16,1.342287104960421,decomposed_hybrid,365.0,13.0,0.3682319733128047,0.6317680266871952,decomposed_hybrid,230.0,4.0,0.1374833881855011,0.18454217910766602,0.1375301480293274
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,32,1.1952214196495232,decomposed_hybrid,487.0,28.0,0.6040035929680483,0.3959964070319517,decomposed_hybrid,405.0,16.0,0.19661562144756317,0.23499920219182968,0.19661827385425568
Qwen3.5,0.8B,Qwen3.5-0.8B-Base,lm_head,64,1.1054383878043117,decomposed_hybrid,608.0,59.0,0.7771896053897979,0.22281039461020213,decomposed_hybrid,577.0,45.0,0.2781764566898346,0.3075069338083267,0.2781905010342598
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,1,3.454377621262757,decomposed_hybrid,61.0,0.0,0.056795131845841784,0.9432048681541583,decomposed_hybrid,3.0,0.0,0.019254345446825027,0.06651178002357483,0.022083451971411705
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,2,2.6914245646865793,decomposed_hybrid,122.0,0.0,0.05295315682281059,0.9470468431771895,decomposed_hybrid,6.0,0.0,0.029080094769597054,0.07826688140630722,0.030040321871638298
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,4,2.2111160457800745,decomposed_hybrid,183.0,1.0,0.06326530612244897,0.936734693877551,decomposed_hybrid,15.0,0.0,0.042321767657995224,0.09357833955436945,0.0426364466547966
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,8,1.7865812044905545,decomposed_hybrid,305.0,3.0,0.09499489274770173,0.9050051072522982,decomposed_hybrid,46.0,0.0,0.061430998146533966,0.10975146666169167,0.06155024468898773
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,16,1.4885826622685958,decomposed_hybrid,366.0,10.0,0.2091211037301993,0.7908788962698007,decomposed_hybrid,143.0,1.0,0.08939649164676666,0.1330740675330162,0.089496367610991
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,32,1.2838964363919987,decomposed_hybrid,489.0,24.0,0.4685024278047534,0.5314975721952466,decomposed_hybrid,366.0,9.0,0.1305253654718399,0.16758105158805847,0.1305495873093605
Qwen3.5,2B,Qwen3.5-2B-Base,lm_head,64,1.1558847212867682,decomposed_hybrid,611.0,54.0,0.6980191693290735,0.3019808306709265,decomposed_hybrid,530.0,36.0,0.19006793200969696,0.21969661861658096,0.1900930255651474
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,1,3.0351746431888613,decomposed_hybrid,49.0,0.0,0.0707070707070707,0.9292929292929293,decomposed_hybrid,3.0,0.0,0.01983749121427536,0.060210250318050385,0.022991374135017395
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,2,2.449906967676236,decomposed_hybrid,98.0,0.0,0.06598984771573604,0.934010152284264,decomposed_hybrid,6.0,0.0,0.029521677643060684,0.07232536375522614,0.029698755592107773
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,4,2.124629428417632,decomposed_hybrid,147.0,1.0,0.07888040712468193,0.9211195928753181,decomposed_hybrid,15.0,0.0,0.04110850393772125,0.08734033722430468,0.04122137278318405
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,8,1.7825106917303417,decomposed_hybrid,245.0,3.0,0.11337579617834395,0.8866242038216561,decomposed_hybrid,44.0,0.0,0.05819954723119736,0.10374131519347429,0.05836855247616768
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,16,1.5191249624135557,decomposed_hybrid,343.0,9.0,0.2109623964308477,0.7890376035691523,decomposed_hybrid,116.0,1.0,0.08290769159793854,0.12594714388251305,0.08302456606179476
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,32,1.3133490228909657,decomposed_hybrid,490.0,22.0,0.42301562001912657,0.5769843799808734,decomposed_hybrid,320.0,7.0,0.11989330500364304,0.1574617549777031,0.11990665085613728
Qwen3.5,4B,Qwen3.5-4B-Base,lm_head,64,1.178151526622459,decomposed_hybrid,637.0,51.0,0.6563047983421011,0.3436952016578989,decomposed_hybrid,539.0,31.0,0.17367708683013916,0.2046179249882698,0.17369024455547333
Qwen3.5,9B,Qwen3.5-9B-Base,lm_head,1,5.037448132677084,decomposed_hybrid,30.0,0.0,0.07984031936127745,0.9201596806387226,decomposed_hybrid,2.0,0.0,0.018759388476610184,0.09449944645166397,0.026743467897176743
Qwen3.5,9B,Qwen3.5-9B-Base,lm_head,2,3.318737039196317,decomposed_hybrid,61.0,0.0,0.056338028169014086,0.9436619718309859,decomposed_hybrid,3.0,0.0,0.03533560782670975,0.1172695904970169,0.03586002439260483
Qwen3.5,9B,Qwen3.5-9B-Base,lm_head,4,2.4720050212114337,decomposed_hybrid,123.0,0.0,0.06868686868686869,0.9313131313131313,decomposed_hybrid,8.0,0.0,0.056147798895835876,0.13879764080047607,0.0574047677218914
Qwen3.5,9B,Qwen3.5-9B-Base,lm_head,8,1.9726326355721193,decomposed_hybrid,184.0,2.0,0.08299595141700405,0.917004048582996,decomposed_hybrid,20.0,0.0,0.08134233951568604,0.16045855358242989,0.08241204917430878
Qwen3.5,9B,Qwen3.5-9B-Base,lm_head,16,1.6341863152981506,decomposed_hybrid,308.0,6.0,0.11448834853090173,0.8855116514690983,decomposed_hybrid,56.0,0.0,0.11433898657560349,0.18685120716691017,0.11455075442790985
