model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
Qwen3-30B-A3B,Qwen3.6-35B-A3B,15,string,20000,5000000,2048,2048,151936,248320,False,False,0.37830611631647876,0.7047391383769748,0.7125828671757223,0.7388627133607129,0.7485055495422257,0.7664043582142023
Qwen3-30B-A3B,Qwen3.6-35B-A3B,11,string,20000,5000000,2048,2048,151936,248320,False,False,0.37935643324363466,0.7059065899895681,0.7130007539532879,0.7432613612681126,0.7470619479977959,0.7651538417429068
Qwen3-30B-A3B,Qwen3.6-35B-A3B,14,string,20000,5000000,2048,2048,151936,248320,False,False,0.37908602561968996,0.7217953092200549,0.7276848631005938,0.7483275312609107,0.7554708621435923,0.771773405557762
Qwen3-30B-A3B,Qwen3.6-35B-A3B,12,string,20000,5000000,2048,2048,151936,248320,False,False,0.3793660742547442,0.7101827364513228,0.7169295346336201,0.7495175899452168,0.7533808483362555,0.7700468350815443
Qwen3-30B-A3B,Qwen3.6-35B-A3B,16,string,20000,5000000,2048,2048,151936,248320,False,False,0.3802777011265083,0.7084482388468549,0.7150522452248822,0.7485508546122374,0.7586758877505037,0.775225331340505
Qwen3-30B-A3B,Qwen3.6-35B-A3B,17,string,20000,5000000,2048,2048,151936,248320,False,False,0.37923140270878386,0.7106521824576576,0.7170080024309664,0.7457794953238006,0.7533375811555415,0.7698451758697028
Qwen3-30B-A3B,Qwen3.6-35B-A3B,18,string,20000,5000000,2048,2048,151936,248320,False,False,0.3794893449486238,0.6997185756061867,0.7070033205304389,0.7396948942278382,0.7532470941535582,0.7709750279290897
Qwen3-30B-A3B,Qwen3.6-35B-A3B,19,string,20000,5000000,2048,2048,151936,248320,False,False,0.37886376995422555,0.7130924135868291,0.7194219405894734,0.7426053044074046,0.7563494213084804,0.7734443099835288
Qwen3-30B-A3B,Qwen3.6-35B-A3B,20,string,20000,5000000,2048,2048,151936,248320,False,False,0.38007982862806694,0.7098578212770151,0.7161745550943283,0.7499032017194458,0.7509926360515662,0.7680347693695073
Qwen3-30B-A3B,Qwen3.6-35B-A3B,21,string,20000,5000000,2048,2048,151936,248320,False,False,0.37850048192581204,0.7190495269618326,0.7240673602579847,0.7464493461616368,0.7675502161886895,0.7818035143247009
Qwen3-30B-A3B,Qwen3.6-35B-A3B,22,string,20000,5000000,2048,2048,151936,248320,False,False,0.3771731623140536,0.7035261683432767,0.7102320287824117,0.7411437120761397,0.7515437893234513,0.7693630149526968
Qwen3-30B-A3B,Qwen3.6-35B-A3B,23,string,20000,5000000,2048,2048,151936,248320,False,False,0.3803004738614864,0.7203750553549376,0.7257252940119597,0.7494657571214509,0.7623499978182949,0.7774936456096766
Qwen3-30B-A3B,Qwen3.6-35B-A3B,26,string,20000,5000000,2048,2048,151936,248320,False,False,0.38011762605762794,0.7220914213467946,0.7268356756966771,0.7507148631637561,0.7603939221745731,0.7758271643436064
Qwen3-30B-A3B,Qwen3.6-35B-A3B,25,string,20000,5000000,2048,2048,151936,248320,False,False,0.37818183308287934,0.7054859771888018,0.7126900438129258,0.7423367809159608,0.7533190487325867,0.7709499049491569
Qwen3-30B-A3B,Qwen3.6-35B-A3B,27,string,20000,5000000,2048,2048,151936,248320,False,False,0.3786166378409182,0.7129479481994494,0.719113929827855,0.7407361640378841,0.7569424051791349,0.7734179231858183
