model_a,model_b,bootstrap,align_mode,n_tokens,n_pairs,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,gcorr_E_cos,gcorr_E_euc,gcorr_E_euc2,gcorr_U_cos,gcorr_U_euc,gcorr_U_euc2
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,37,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975091784574,0.9999998337005555,0.9999998156734936,0.9999928827052654,0.9999991562566135,0.9999991189382647
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,36,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975581903888,0.9999998365600011,0.9999998187571104,0.9999928748315792,0.999999142534345,0.9999991026569753
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,38,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975594023207,0.9999998367242046,0.9999998185023098,0.9999931491842382,0.9999991466049758,0.9999991105613186
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,39,id,20000,5000000,7168,7168,129280,129280,False,False,0.99999753180351,0.9999998339970206,0.9999998158855895,0.999993048463158,0.9999991480795527,0.9999991088498114
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,41,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975388917839,0.9999998357182104,0.9999998175086657,0.9999931395557904,0.9999991701659389,0.9999991286119866
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,43,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975384704737,0.9999998323523142,0.9999998144928481,0.9999929184100511,0.9999991425765501,0.9999991018730451
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,40,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975497069271,0.9999998405417815,0.9999998218793839,0.9999930967775433,0.9999991990543551,0.9999991567290146
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,42,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975213141752,0.9999998355719697,0.9999998167143201,0.9999931266173324,0.9999991735382939,0.9999991360562599
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,44,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975452581954,0.9999998348381288,0.9999998173738638,0.9999931086350107,0.9999991640029718,0.9999991263481217
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,46,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975497982609,0.9999998331317608,0.9999998148805174,0.9999930992086786,0.9999991684762862,0.9999991299987262
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,45,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975178494084,0.9999998336686906,0.9999998153662624,0.9999931206207942,0.9999991786556095,0.9999991403155756
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,47,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975420484393,0.999999837261928,0.9999998187913566,0.9999930794225786,0.9999991604887429,0.9999991182148291
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,49,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975195179038,0.9999998369946814,0.9999998190142482,0.999992930984838,0.999999158683681,0.999999120705682
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,48,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975405375912,0.9999998361981559,0.9999998179052234,0.9999928796331952,0.9999991329110347,0.9999990963476114
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,51,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975307053225,0.9999998360298632,0.9999998179186088,0.9999930458545623,0.9999991314188731,0.9999990930335046
DeepSeek-V3.2,DeepSeek-V3.2-Speciale,50,id,20000,5000000,7168,7168,129280,129280,False,False,0.9999975468087252,0.9999998365068418,0.9999998179489241,0.9999931360245818,0.9999991585873683,0.9999991212631043
