model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Gemma-2-27B,Gemma-2-27B-Instruct,task1_base_instruct,id,255993,24000,4608,4608,256000,256000,True,True,0.9980302414930128,0.043886069974658146,67.49649047851562,0.07424641400575638,0.9980302414930128,0.043886069974658146,67.49649047851562,0.07424641400575638
Qwen3-0.6B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,1024,4096,151936,151936,True,False,0.17178405378624417,0.9084053415741596,14.912928581237793,0.15029768645763397,0.1932667177562657,0.8920139800791239,21.177146911621094,0.2103734016418457
Qwen3-1.7B,Qwen3-14B,task2_model_series,id,151643,24000,2048,5120,151936,151936,True,False,0.20775773484372573,0.8812859195352837,17.476865768432617,0.3284185826778412,0.2633639737486483,0.8498740743001317,22.757299423217773,0.2072775512933731
Qwen3-1.7B,Qwen3-8B,task2_model_series,id,151643,24000,2048,4096,151936,151936,True,False,0.19330439229290497,0.8908516702448586,17.990163803100586,0.2974787652492523,0.31326685163540957,0.8071020107412622,26.741971969604492,0.22286078333854675
Qwen3-1.7B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2048,4096,151936,151936,True,False,0.2391455914503594,0.8706910181810703,14.294967651367188,0.13618150353431702,0.31435219592243757,0.8224052495455602,21.977352142333984,0.20245951414108276
Qwen3-1.7B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,2048,2048,151936,151936,True,False,0.27867304140372484,0.8456505292870821,13.654626846313477,0.14393030107021332,0.4151994902651436,0.7375357714908373,21.292451858520508,0.17103242874145508
Qwen3-4B,Qwen3-14B,task2_model_series,id,151643,24000,2560,5120,151936,151936,True,False,0.23548100210689626,0.8657451384438292,30.361970901489258,0.42547303438186646,0.3290878851739014,0.8109665950014728,40.647483825683594,0.2789021134376526
Qwen3-4B,Qwen3-8B,task2_model_series,id,151643,24000,2560,4096,151936,151936,True,False,0.23139881186167088,0.8695541617553677,31.829566955566406,0.375575453042984,0.4611096543912899,0.7150509385268806,52.20647048950195,0.24646450579166412
Qwen3-4B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,2560,2048,151936,151936,True,False,0.30671801317283154,0.8290466911086886,23.431184768676758,0.18876896798610687,0.48492645817580127,0.692001203124734,36.945396423339844,0.19132250547409058
Qwen3-4B,Qwen3-32B,task2_model_series,id,151643,24000,2560,5120,151936,151936,True,False,0.2452741275651903,0.8593752565646218,29.98432731628418,0.40617820620536804,0.3199262813461854,0.8136922596607616,37.24702453613281,0.3200109004974365
Qwen3-4B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2560,4096,151936,151936,True,False,0.2696877666654086,0.8530227174208195,24.76778221130371,0.18519769608974457,0.3786730629166538,0.7828171631319352,38.8492431640625,0.28276994824409485
Qwen3-8B,Qwen3-32B,task2_model_series,id,151643,24000,4096,5120,151936,151936,False,False,0.321233078945379,0.814989261085159,49.11822509765625,0.04695115238428116,0.4463298124703692,0.7343252939753273,36.8426399230957,0.20839034020900726
Qwen3-8B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,4096,2048,151936,151936,False,False,0.3323187682623152,0.8136241756920648,34.19182205200195,0.045901134610176086,0.5815779941608392,0.6240294837210119,32.914363861083984,0.11665701121091843
Qwen3-8B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,4096,4096,151936,151936,False,False,0.3095764304831732,0.8293999086472322,39.04350280761719,0.04110255092382431,0.5037098551552657,0.6997611621849723,36.9041862487793,0.21221160888671875
Qwen3-14B,Qwen3-32B,task2_model_series,id,151643,24000,5120,5120,151936,151936,False,False,0.503132894611622,0.6972427188720526,85.38453674316406,0.0407843217253685,0.7485386186933168,0.494909074700542,57.716453552246094,0.13204452395439148
Qwen3-14B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,5120,2048,151936,151936,False,False,0.36557214305581587,0.793077208542251,65.11182403564453,0.04845816642045975,0.6117382867598562,0.6010962140984821,42.96030044555664,0.1789570301771164
Qwen3-14B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,5120,4096,151936,151936,False,False,0.3498641715588412,0.8048471056882002,74.704833984375,0.042740121483802795,0.5591157460604543,0.6595355764890535,48.83705139160156,0.14761975407600403
Qwen3-32B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,5120,2048,151936,151936,False,False,0.3606120525342237,0.7961713948396307,73.11031341552734,0.05047784373164177,0.6069684023146342,0.6047772456494411,48.87601089477539,0.2712669372558594
Gemma-4-31B,Gemma-4-31B-Instruct,task1_base_instruct,id,262120,24000,5376,5376,262144,262144,True,True,0.8251545933613333,0.4099403943936301,75.5433578491211,0.2953961193561554,0.8251545933613333,0.4099403943936301,75.5433578491211,0.2953961193561554
